Author	Book Title	ISBN	Year Level
Factor, June; Viska, Peter (ill.)	Far Out, Brussel Sprout!	978-1-877035-27-2	5-6
Factor, June; Viska, Peter (ill.)	Real Keen Baked Bean!	978-1-877035-30-2	5-6
Factor, June; Viska, Peter (ill.)	Unreal, Banana Peel!	978-1-877035-29-6	5-6
Fahey, Mary-Anne	I, Nigel Dorking	978-0-14-330247-6	5-6, 7-8
Faille, Chris; Snell, Danny (ill.)	Jeremy	9781921504402	EC-2, 3-4
Falconer, Ian	Dream Big Starring Olivia	978-0-7407-5818-8	EC-2
Falconer, Ian	Olivia series		EC-2
Falk, Nick; Flowers, Tony	Eaten Alive!	9780857983176	3-4
Falk, Nick; Flowers, Tony	First Bite	9780857983053	3-4
Falk, Nick; Flowers, Tony	Shadow Shifter	9780857983152	3-4
Falk, Nick; Flowers, Tony	Werewolves Beware!	9780857983077	3-4
Falk, Nick; Flowers, Tony (ill)	A Diplodocus Trampled My Teepee	9780857981844	EC-2
Falk, Nick; Flowers, Tony (ill)	A Plesiosaur Broke My Bathtub	9780857981820	EC-2
Falk, Nick; Flowers, Tony (ill)	A Pterodactyl Stole My Homework	9781742756561	EC-2
Falk, Nick; Flowers, Tony (ill)	An Allosaurus Ate My Uncle	9781742756585	EC-2
Falk, Nick; Flowers, Tony (ill)	The Very Naughty Velociraptor	9781742756578	EC-2
Falk, Nick; Flowers, Tony (ill)	Tyrannosaurus in the Veggie Patch	9781742756554	EC-2
Falkner, Brian	The Flea Thing	978-1-92115012-8	5-6
Falkner, Brian	The Real Thing	978-1-92115013-5	7-8
Falkner, Brian	The Super Freak	978-1-92115014-2	7-8
Farmer, Nancy	The House of the Scorpion	978-0-689-83770-8	9-10
Farndon, John	Rockets and other Spacecraft	978-0-7496-4729-2	3-4
Farrant, Natasha	The Things We Did For Love	9780571278176	7-8
Farrell, Darren	Doug-Dennis and the Flyaway Fib	978-1-74169-756-8	3-4
Farrer, Vashti	Archer's Melbourne Cup: The Diary of Robby Jenkins, Terara, NSW, 1860-1861	978-1-86504-941-0	5-6, 7-8
Farrer, Vashti	Escape to Eaglehawk	978-0-9580164-0-7	7-8
Farrer, Vashti	Eureka Gold	978-0-646-27470-6	3-4
Farrer, Vashti	Lulubelle and her Bones	978-1-86504-579-5	3-4
Farrer, Vashti	Ned's Kang-u-roo	978-0-85091-855-7	3-4
Farrer, Vashti	Plagues and Federation: the Diary of Kitty Barnes, the Rocks, Sydney, 1900	978-1-86504-266-4	5-6, 7-8
Farrer, Vashti	Sydney Harbour Bridge	981741699531	5-6, 7-8
Farrer, Vashti	Walers go to War	978-0-9577957-6-1	3-4
Farrer, Vashti; Cencic, Vilma (ill.)	Mr Pavlov's Possum	978-0-7344-0954-6	3-4
Farrer, Vashti; Chapman, Gaye (ill.)	Breakfast with Buddha	978-1-86504-777-5	EC-2
Farrer, Vashti; Curtis, Neil (ill.)	Big Feet, Very Sweet	978-0-7344-0781-8	3-4
Farrer, Vashti; Curtis, Neil (ill.)	Mr Noah and the Cats	978-0-7344-0630-9	EC-2
Farrer, Vashti; Small, Mary	Feathered Soldiers	0-97571-232-2	5-6, 7-8
Fatchen, Max	A Paddock of Poems	978-0-14-032476-1	5-6
Fatchen, Max	Australia at the Beach	978-1-86291-393-6	3-4
Fatchen, Max	Howzat!	978-1-86291-579-4	5-6
Fatchen, Max	Terrible Troy	978-0-7333-0774-4	3-4
Fatchen, Max	The Spirit Wind	978-0-416-56450-1	5-6
Fatchen, Max	The Very Long Nose of Jonathon Jones	978-0-7333-0756-0	EC-2
Fatchen, Max; Johns, Cheryll (ill.)	Meet the Monsters	978-1-86291-528-2	3-4
Fatchen, Max; Thiele, Colin	Tea for Three	978-1-86391-243-3	7-8
Faulkner, Carol	Dads Have No Shame	978-0-14-330178-3	3-4
Faulkner, Carol	The Meteorite Kid	978-1921150-80-7	5-6
Faulkner, Carol; James, Ann (ill.)	Chester and Gil	9781862915848	EC-2
Faulkner, Carol; Talib, Binny (ill)	The Hunt for Houdini	978-1-74192-036-9	3-4
Feely, Eliza	Peka-Boo, the smallest bird in the world	9781741755411	EC-2
Feeney, Josephine; Sheppard, Kate (ill.)	Robin Hood's Day	978-1-4063-0640-8	EC-2
Feist, Raymond E.	Magician	978-0-00-712328-5	7-8
Fensham, Elizabeth	Bill Rules	978-0-7022-3848-2	3-4
Fensham, Elizabeth	Helicopter Man	978-0-7475-7549-8	7-8
Fensham, Elizabeth	Matty Forever	978-0-7022-3702-7	3-4
Fensham, Elizabeth	Miss Mc Allister's Ghost	978-0-7022-3646-4	7-8
Fensham, Elizabeth	The Invisible Hero	9780702238901	7-8
Fenton, Corinne	The Dog on the Tuckerbox	978-1-74203-008-1	3-4, 5-6
Fenton, Corinne; Ciaffaglione, Sebastian	Flame Stands Waiting	978-174203095-1	EC-2
Fenton, Corinne; Cowcher, Robin (ill.)	Little Dog and the Christmas Wish	9781742032368	EC-2, 3-4
Fenton, Corinne; Gouldthorpe, Peter (ill)	Queenie: One Elephant's Story	978-1-876372-97-2	5-6
Fenton-Smith, Maree; Piri, Lilly (ill)	Creatures of Magic	978-1-922077-73-8	5-6
Ferri, Jean-Yves; Conrad, Didier (ill.)	Asterix and the Missing Scroll	9781510100459	5-6, 7-8
Ferris, Fleur	Black	9781925324976	9-10
Ferris, Fleur	Risk	9780857986474	9-10
Fiedler, Lisa	Dating Hamlet	978-0-00-716186-7	9-10
Field, Alex; Carnavas, Peter (ill.)	Mr Darcy series		EC-2
Fienberg, Anna	Borrowed Light	978-0-18-644931-2	9-10
Fienberg, Anna	Dead Sailors Don't Bite	978-0-14330-374-9	3-4
Fienberg, Anna	Louis Beside Himself	9781742379944	7-8, 9-10
Fienberg, Anna	Number 8	978-0-14-300404-2	5-6
Fienberg, Anna	Power to Burn	978-1-86508-091-8	9-10
Fienberg, Anna	The Hottest Boy Who Ever Lived	978-1-86373-477-6	EC-2
Fienberg, Anna	Wicked's Way	9781743319901	5-6
Fienberg, Anna; Fienberg, Barbara; Gamble, Kim (ill)	Once Tashi Met a Dragon	978-1-74175-887-0	EC-2
Fienberg, Anna; Fienberg, Barbara; Gamble, Kim (ill.)	Tashi series		3-4
Fienberg, Anna; Gamble, Kim (ill.)	Ariel, Zed and the Secret of Life	978-1-86508-263-9	7-8
Fienberg, Anna; Gamble, Kim (ill.)	Horrendo's Curse	978-1-86508-603-3	3-4
Fienberg, Anna; Gamble, Kim (ill.)	Joseph	978-1-86448-173-0	5-6
Fienberg, Anna; Gamble, Kim (ill.)	Minton series		EC-2
Fienberg, Anna; Gamble, Kim (ill.)	The Magnificent Nose and Other Marvels	978-1-86448-666-7	3-4
Fienberg, Anna; James, Ann (ill.)	Wiggy and Boa	978-1-86373-614-5	5-6
Fienberg, Anna; King, Stephen Michael (ill.)	Figaro and Rumba and the Crocodile Cafe	9781742373119	3-4
Fienberg, Anna; Simare, Remy (ill.)	Horrendo's Curse	9781743315262	3-4
Fienerg, Anna; King, Stephen Michael (ill)	Figaro and Rumba and the Cool Cats	9781743313497	3-4
Filipovic, Zlata	Zlata's Diary	978-0-14-037463-6	7-8
Fine, Anne	Bill's New Frock	978-1-4052-0060-8	3-4
Fine, Anne	Charm School	978-0-440-86400-4	3-4
Fine, Anne	Goggle-Eyes	978-0-14-130754-1	7-8
Fine, Anne	Madame Doubtfire	978-0-14-037355-4	7-8
Fine, Anne	The Book of the Banshee	978-0-14-034704-3	7-8
Fine, Anne	The Flour Babies	978-0-14-036147-6	7-8
Fine, Anne	The More the Merrier	978-0-440-86585-8	5-6
Finlay, Lizzie	Dandylion	9781862305960	EC-2
Finn, Mary	Anila's Journey	978-1-4063-0659-0	7-8
Firth, Melissa; Orsini, Cheryl (ill)	Red Plane to the Rescue	9781741698534	EC-2
Fischer, Esther	Walkabout with our Mates	978-1-86334-087-8	3-4
Fish, Greg	Nick's Fabulous Footy Cards	9780992533502	3-4
Fisher, Catherine	The Archon	978-0-340-84377-2	7-8
Fisher, Catherine	The Oracle	978-0-340-84376-5	7-8
Fisher, Catherine	The Scarab	978-0-340-87894-1	7-8
Fisher, Esther	Jakobi Nan	978-1-86334-055-7	EC-2
Fisher, Suzanne Staples	Under the Same Stars	978-1-4063-0819-8	9-10
Fisk, Nicholas	Grinny	978-0-00-330020-8	7-8
Fison, J.E.	Shark Frenzy	9781921665110	5-6, 7-8
Fison, J.E.	Snake Surprise	9781921665127	5-6, 7-8
Fison, Julie	How To Get Rio	9781742977744	7-8
Fison, Julie	The Call of the Wild	9781742977751	7-8
Fitch, Sheree	There's A Mouse In The House	Unspec201001	EC-2, 3-4, 5-6, 7-8, 9-10
Fitzhugh, Louise	Harriet the Spy	978-0-440-41679-1	5-6
Fitzpatrick, Becca	Hush, Hush series		9-10
Fitzpatrick, Deb	90 Packets of Instant Noodles	978-1921-361-99-9	9-10
Fitzpatrick, Deb	Have You Seen Ally Queen?	9781921888489	7-8, 9-10
Fitzpatrick, Judy; Hatcher, Don (ill.)	Lily and the Wizard Wackoo	978-1-86291-437-7	EC-2, 3-4
Fitzpatrick, Marie-Louise	I'm a Tiger Too	978-0-86461-352-3	EC-2
Flack, Marjorie; Wiese, Kurt (ill.)	The Story About Ping	978-0-14-050241-1	3-4
Flanagan, John	Brother Band series		7-8
Flanagan, John	Ranger's Apprentice series		7-8
Flanagan, John	The Emperor of Nihon-Ja	978-1-74166-448-5	7-8, 9-10
Flanagan, John	The Outcasts	9781741664492	5-6, 7-8
Flanagan, Martin	Archies Letter: An Anzac Story	9780980794878	5-6, 7-8
Flannery, Tim	We are the Weather Makers	978-1-921145-34-6	9-10
Fleischman, Paul; Hawkes, Kevin (ill.)	Weslandia	978-1-4063-1375-8	3-4
Fleischman, Sid	McBroom's Wonderful One Acre Farm	978-0-688-15595-7	3-4
Fleischman, Sid	The Whipping Boy	978-0-06-052122-6	5-6
Fleischmann, Tomas	Lolli's Apple	978-0-9804530-3-4	7-8
Fleming, Fergus; Dowswell, Paul; Tomlins, Karen (design.)	Greek Gazette	978-0-7460-2755-4	7-8
Fleming, Fergus; Dowswell, Paul; Tomlins, Karen (design.)	Stone Age Sentinel	978-0-7460-2959-6	7-8
Fleming, Fergus; Dowswell, Paul; Tomlins, Karen (design.)	The Medieval Messenger	978-0-7460-2749-3	7-8
Fleming, Fergus; Dowswell, Paul; Tomlins, Karen (design.)	The Roman Record	978-0-7460-2753-0	7-8
Fleming, Fergus; Dowswell, Paul; Tomlins, Karen (design.)	The Viking Invader	978-0-7460-2957-2	7-8
Fleming, Garry	Pobblebonks	978-0-7336-1027-1	EC-2
Fleming, Garry	The Very Ordinary Caterpillar	978-1-875875-34-4	EC-2
Fletcher, Charlie	Iron Hand	978-0-34091-165-5	7-8
Fletcher, Charlie	Silver Tongue	978-0-340-91167-9	7-8
Fletcher, Charlie	Stone Heart	978-0-340-91162-4	7-8
Flint, Shamini; Heinrich, Sally (ill)	Diary of a … series		3-4
Flood, Ciara	Those Pesky Rabbits	9781499800715	EC-2
Flynn, Pat	Beeware	978-0-7022-3622-8	3-4
Flynn, Pat	Don't Kiss Girls	978-0-14330-312-1	5-6, 7-8
Flynn, Pat	Get Rich Quick	978-0-14-330393-0	5-6, 7-8
Flynn, Pat	How To Get Dumped	978-0-14-330394-7	5-6, 7-8
Flynn, Pat	The Best Ballgirl	978-0-14-330574-3	3-4, 5-6
Flynn, Pat	The Mal Rider	978-0-14-330219-3	5-6
Flynn, Pat	To the Light	978-0-7022-3492-7	3-4
Flynn, Pat	Stuff Happens: Tom	9780143308850	5-6
Flynn, Pat; Jellett, Tom (ill.)	The Trophy Kid	978-0-7022-3840-6	3-4
Flynn, Pat; Jellett, Tom (ill.)	The Tuckshop Kid	978-0-7022-3567-2	3-4
Flynn, Pat; Jellett, Tom (ill.)	The Toilet Kid	978-0-7022-3717-1	3-4
Flynn, Rachel	I Can't Wait	978-0-14-036301-2	5-6, 7-8
Flynn, Rachel	I Hate Fridays: Stories from Koala Hills Primary School	978-0-14-034102-7	5-6
Flynn, Rachel	It's Not Fair!	978-0-14-034915-3	5-6, 7-8
Flynn, Rachel	Messing Around	978-0-14-038597-7	5-6, 7-8
Flynn, Rachel	Scruffy's Day Out	978-0-14-131169-2	EC-2
Flynn, Rachel	The Goat, the Duck and the Bale of Hay	978-0-670-04043-8	EC-2
Flynn, Rachel	Up for Sale	978-0-14-330202-5	5-6
Flynn, Rachel	Worried Sick	978-0-14-037152-9	5-6, 7-8
Flynn, Rachel; Smith, Craig	My Grandma and Me	9780143502326	EC-2
Flynn, Rachel; Smith, Craig (ill.)	I Hate Fridays Collection	978-0-7343-0457-5	5-6, 7-8
Flynn, Rachel; Smith, Craig (ill.)	My Grandpa and Me	978-0-14-350233-3	EC-2
Flynn, Rachel; Smith, Craig (ill.)	My Sister and Me	978-0-14-350330-9	EC-2
Flynn, Rachel; Smith, Craig (ill.)	On the Team	978-0-14-330044-1	3-4
Flynn, Rachel; Smith, Craig (ill.)	Roland and Eugenie	978-0-14330-290-2	3-4
Flynn, Rachel; Vane, Mitch (ill.)	Whisper Wild, Freedom Child	978-0-670-88858-0	3-4
Flynn, Rachel; Watson, Judy (ill.)	Moon Station	978-0-14-330452-4	3-4
Fogarty, Lionel	Booyooburra	978-1-875657-10-0	5-6
Fogorty, Renee	Fair Skin Black Fella	9781921248146	3-4
Foley, Greg	Don't Worry Bear	978-0-14-350415-3	EC-2
Foley, Greg	Good Luck Bear	978-0-670-07373-3	EC-2
Foley, Greg	Thank You Bear	978-0-670-07218-7	EC-2
Foley, James	In The Lion	9781921720321	EC-2
Foreman, Michael	Dad I Can't Sleep	978-0-09-961071-7	EC-2
Foreman, Michael	Mia's Story	978-1-4063-0533-3	3-4
Foreman, Michael	War and Peas	978-1-84270-083-9	3-4
Foreman, Michael	Why the Animals Came to Town	978-1-4063-2995-7	EC-2, 3-4
Forman, Gayle	If I Stay	978-1-86230-831-2	9-10
Forman, Gayle	Just One Night	9780698184893	9-10
Forman, Gayle	Just One Year	9780525425922	9-10
Forman, Gayle	Where She Went	978-0525422945	9-10
Forman, Gayle	Just One Day	9780142422953	9-10
Fornasier, Kylie; Jellett, Tom (ill.)	The Ugg Boot War	9781862919990	EC-2
Forrest, Lisa	DJ Max	978-0-7336-0795-0	9-10
Forrest, Lisa	Making the Most of it	978-0-7336-0794-3	9-10
Forrestal, Elaine	Black Earth	978-0-14-330070-0	7-8
Forrestal, Elaine	Deep Water	978-0-14-330030-4	7-8
Forrestal, Elaine	Graffiti on the Fence	978-0-14-130519-6	7-8
Forrestal, Elaine	Miss Llewellyn-Jones Goes to Town	9781921696046	EC-2
Forrestal, Elaine	Someone Like Me	978-0-14-038092-7	7-8
Forrestal, Elaine	Stone Circle	978-0-14-330069-4	7-8
Forrestal, Elaine	Wild Wind	978-0-14-330071-7	7-8
Forrestal, Elaine	Winning	978-0-14-131378-8	7-8
